asset,Date,Open,High,Low,Close
NOK,2011-10-05,NA,337.17,323.94,337.14
NOK,2011-10-04,NA,334.83,321.53,323.94
NOK,2011-10-03,NA,348.28,334.75,334.75
NOK,2011-09-30,NA,353.08,345.14,348.28
NOK,2011-09-29,NA,352.33,344.29,349.44
NOK,2011-09-28,NA,352.26,345.67,347.67
NOK,2011-09-27,NA,351.73,339.74,351.49
NOK,2011-09-26,NA,346.06,332.86,339.74
NOK,2011-09-23,NA,349.6,335.1,342.05
NOK,2011-09-22,NA,363.39,346.21,346.21
NOK,2011-09-21,NA,366.88,361.69,363.39
NOK,2011-09-20,NA,367,357.37,366.88
NOK,2011-09-19,NA,367.08,358.62,359.25
